,TO,PTS,Ast%,Ast/100,Blk%,Blk/100,Box D-DPM,Box DPM,Box O-DPM,D-DPM,DPM,DPM Improvement,Experience,FG2%,FG3%,SEC,FG3A/100,FG3ARate%,FGA/100,FT%,FTA/100,FTARate%,O-DPM,Player,Reb/100,Stl%,Stl/100,Team,Tov/100,Usg%,MIN
15,4,12,4.60%,1.6,3.00%,2.6,1.5,2.1,0.6,3.8,3.8,-1.0,Vet,67.10%,12.40%,0,0.6,4.20%,10.7,65.30%,10.5,85.20%,0.0,Rudy Gobert,20.6,0.90%,0.9,Utah Jazz,2.5,17.10%,40.0
19,4,46,26.40%,7.9,0.40%,0.4,-1.2,3.3,4.6,-1.0,3.6,0.7,Vet,50.30%,34.80%,0,12.2,43.90%,29.1,84.80%,8.3,29.50%,4.6,Donovan Mitchell,6.3,1.70%,1.7,Utah Jazz,4.3,32.90%,40.0
32,4,26,28.10%,9.1,0.60%,0.6,0.8,0.8,0.0,1.4,2.4,-1.0,Vet,46.30%,36.60%,0,9.4,50.90%,17.9,80.90%,4.3,22.50%,1.0,Mike Conley,5.4,2.00%,2.1,Utah Jazz,3.2,19.10%,31.0
61,3,24,13.70%,4.2,0.50%,0.4,-0.4,2.0,2.4,-0.9,1.6,1.2,Vet,52.20%,33.80%,0,11.2,46.80%,23.2,83.90%,4.5,20.70%,2.5,Jordan Clarkson,6.4,1.40%,1.4,Utah Jazz,2.9,23.50%,24.0
91,2,4,3.70%,1.3,5.40%,4.5,1.5,1.9,0.3,1.3,0.9,2.3,Vet,62.80%,11.20%,0,0.7,4.40%,12.8,57.70%,6.5,50.60%,-0.4,Hassan Whiteside,22.0,0.90%,1.0,Utah Jazz,2.4,16.10%,18.0
170,1,8,8.30%,2.7,0.20%,0.2,-1.5,0.1,1.6,-1.4,-0.1,-0.2,Vet,49.80%,37.70%,0,10.6,51.70%,20.6,85.00%,5.9,28.50%,1.3,Bojan Bogdanovic,6.7,0.90%,0.9,Utah Jazz,2.6,23.70%,10.0
197,1,0,6.50%,2.2,1.00%,0.8,0.3,-0.8,-1.2,0.6,-0.3,1.1,Vet,50.20%,35.10%,0,7.6,60.90%,11.8,72.00%,3.7,27.50%,-0.9,Danuel House Jr.,7.2,1.20%,1.2,Utah Jazz,1.6,13.20%,9.0
202,1,4,9.10%,3.3,0.70%,0.6,0.0,-0.5,-0.5,0.2,-0.4,-0.1,Vet,55.60%,35.80%,0,7.4,71.20%,8.9,79.60%,1.3,14.90%,-0.5,Royce O'Neale,8.0,1.40%,1.4,Utah Jazz,1.3,9.60%,9.0
207,1,4,7.60%,2.4,1.30%,1.2,-0.4,-1.7,-1.3,0.4,-0.4,-0.4,Vet,45.10%,33.70%,0,9.5,50.20%,18.4,76.50%,4.3,18.80%,-0.8,Rudy Gay,11.6,1.30%,1.3,Utah Jazz,2.3,19.30%,10.0
252,1,2,7.20%,2.4,1.00%,0.8,0.6,-0.5,-1.1,0.2,-0.8,0.6,Vet,52.70%,33.20%,0,9.5,65.90%,13.6,59.30%,3.6,28.40%,-1.0,Juancho Hernangomez,10.9,1.30%,1.3,Utah Jazz,1.5,14.60%,9.0
321,0,0,19.20%,7.1,0.60%,0.6,-0.6,-1.1,-0.4,-0.7,-1.3,0.6,Sophomore,51.10%,27.80%,0,2.7,17.60%,11.9,76.40%,3.6,28.70%,-0.6,Trent Forrest,6.7,1.80%,1.8,Utah Jazz,3.3,13.90%,0.0
322,0,4,7.10%,2.4,0.50%,0.4,-1.1,-0.8,0.3,-1.3,-1.3,1.1,Vet,55.70%,32.70%,0,6.5,38.50%,17.3,71.10%,7.0,36.10%,0.0,Eric Paschall,8.2,0.90%,0.9,Utah Jazz,2.2,19.20%,2.0
360,0,0,16.60%,5.4,1.00%,0.9,-0.2,-1.6,-1.3,-0.5,-1.6,-0.5,Vet,45.70%,31.80%,0,11.1,58.10%,19.8,72.30%,4.7,22.50%,-1.0,Nickeil Alexander-Walker,6.4,1.70%,1.7,Utah Jazz,3.4,21.00%,0.0
410,0,0,22.80%,8.2,0.70%,0.6,-0.7,-1.8,-1.1,-0.8,-2.0,0.3,Rookie,47.50%,30.10%,0,11.8,58.80%,21.2,72.40%,3.1,15.20%,-1.2,Jared Butler,6.3,2.10%,2.1,Utah Jazz,3.8,21.50%,0.0
445,0,0,3.80%,1.3,2.50%,2.2,-0.1,-2.1,-2.1,-0.1,-2.2,0.4,Sophomore,61.70%,16.10%,0,0.9,5.30%,13.5,66.70%,4.0,28.70%,-2.1,Udoka Azubuike,15.6,0.90%,0.9,Utah Jazz,2.5,15.70%,0.0
447,0,0,8.60%,2.9,0.60%,0.5,-0.5,-2.2,-1.8,-0.5,-2.3,-0.1,Rookie,46.20%,31.40%,0,8.9,63.00%,14.7,71.50%,3.1,22.60%,-1.8,Xavier Sneed,7.6,1.50%,1.4,Utah Jazz,1.9,14.90%,0.0
39,4,4,18.60%,6.2,1.70%,1.7,2.8,2.7,-0.1,2.6,2.3,1.0,Vet,56.70%,15.60%,0,0.7,5.70%,9.3,49.10%,6.2,49.30%,-0.4,Steven Adams,17.2,1.60%,1.6,Memphis Grizzlies,2.6,14.00%,15.0
40,4,8,31.00%,10.2,0.60%,0.6,-2.1,0.7,2.8,-1.1,2.0,2.2,Vet,51.80%,30.40%,0,6.0,24.20%,26.4,71.50%,11.5,42.10%,3.2,Ja Morant,8.5,1.50%,1.5,Memphis Grizzlies,5.1,31.10%,10.0
46,4,14,9.70%,3.0,2.60%,2.3,1.1,2.3,1.2,0.9,1.8,0.8,Vet,63.00%,28.80%,0,0.7,4.60%,15.8,68.10%,5.8,38.60%,0.9,Brandon Clarke,13.3,1.50%,1.5,Memphis Grizzlies,1.8,18.10%,18.0
49,3,12,11.00%,3.6,0.80%,0.8,0.2,1.6,1.3,0.3,1.8,2.5,Sophomore,50.90%,38.10%,0,11.2,53.40%,21.0,87.30%,3.8,19.70%,1.5,Desmond Bane,6.7,1.70%,1.8,Memphis Grizzlies,2.1,21.40%,20.0
56,4,14,5.40%,1.7,5.00%,4.5,1.2,1.2,0.0,1.4,1.7,1.1,Vet,49.80%,33.90%,0,9.5,41.70%,21.5,80.40%,8.3,37.70%,0.3,Jaren Jackson Jr.,11.1,1.50%,1.5,Memphis Grizzlies,2.8,23.70%,23.0
57,2,12,15.30%,5.0,1.20%,1.0,1.6,1.8,0.2,1.4,1.7,0.5,Vet,46.20%,32.80%,0,12.7,63.20%,19.7,74.60%,3.7,20.80%,0.3,De'Anthony Melton,9.1,2.70%,2.7,Memphis Grizzlies,2.9,20.80%,30.0
104,2,14,26.60%,9.4,0.10%,0.1,-0.2,1.0,1.2,0.1,0.7,2.3,Vet,48.10%,34.80%,0,7.8,45.00%,17.5,82.40%,2.6,16.40%,0.6,Tyus Jones,5.4,2.10%,2.2,Memphis Grizzlies,1.9,17.60%,22.0
138,2,4,14.00%,4.9,1.80%,1.6,2.0,0.5,-1.5,1.2,0.3,-1.2,Vet,51.30%,29.60%,0,2.6,15.60%,12.5,70.90%,3.4,28.90%,-0.9,Kyle Anderson,11.6,2.40%,2.4,Memphis Grizzlies,2.1,14.00%,12.0
141,2,4,11.80%,3.7,0.60%,0.5,-1.4,-2.0,-0.6,-0.5,0.3,0.1,Vet,46.20%,33.10%,0,8.6,35.00%,24.8,79.80%,5.3,21.40%,0.8,Dillon Brooks,5.2,1.60%,1.6,Memphis Grizzlies,2.4,25.30%,4.0
148,2,4,12.20%,4.1,1.00%,0.8,0.7,0.5,-0.2,0.7,0.1,-0.4,Vet,58.80%,33.10%,0,5.1,48.10%,10.1,62.10%,2.4,21.30%,-0.5,John Konchar,12.5,1.70%,1.7,Memphis Grizzlies,1.5,11.10%,14.0
172,1,6,9.70%,3.2,1.20%,1.0,1.3,0.6,-0.7,1.1,-0.1,0.7,Sophomore,58.60%,29.00%,0,2.7,14.10%,12.6,63.00%,4.1,32.90%,-1.1,Xavier Tillman,11.7,2.50%,2.5,Memphis Grizzlies,2.3,15.40%,12.0
